"cell_name","cell_label"
"Oocyte..1.RPKM.",6
"Oocyte..2.RPKM.",6
"Oocyte..3.RPKM.",6
"Zygote..1.RPKM.",7
"Zygote..2.RPKM.",7
"Zygote..3.RPKM.",7
"X2.cell.embryo.1..Cell.1.RPKM.",9
"X2.cell.embryo.1..Cell.2.RPKM.",9
"X2.cell.embryo.2..Cell.1.RPKM.",9
"X2.cell.embryo.2..Cell.2.RPKM.",9
"X2.cell.embryo.3..Cell.1.RPKM.",9
"X2.cell.embryo.3..Cell.2.RPKM.",9
"X4.cell.embryo.1..Cell.1.RPKM.",9
"X4.cell.embryo.1..Cell.2.RPKM.",9
"X4.cell.embryo.1..Cell.3.RPKM.",9
"X4.cell.embryo.1..Cell.4.RPKM.",9
"X4.cell.embryo.2..Cell.1.RPKM.",1
"X4.cell.embryo.2..Cell.2.RPKM.",1
"X4.cell.embryo.2..Cell.3.RPKM.",1
"X4.cell.embryo.2..Cell.4.RPKM.",1
"X4.cell.embryo.3..Cell.1.RPKM.",1
"X4.cell.embryo.3..Cell.2.RPKM.",1
"X4.cell.embryo.3..Cell.3.RPKM.",1
"X4.cell.embryo.3..Cell.4.RPKM.",1
"X8.cell.embryo.1..Cell.1.RPKM.",3
"X8.cell.embryo.1..Cell.2.RPKM.",3
"X8.cell.embryo.1..Cell.3.RPKM.",3
"X8.cell.embryo.1..Cell.4.RPKM.",3
"X8.cell.embryo.2..Cell.1.RPKM.",10
"X8.cell.embryo.2..Cell.2.RPKM.",10
"X8.cell.embryo.2..Cell.3.RPKM.",10
"X8.cell.embryo.2..Cell.4.RPKM.",10
"X8.cell.embryo.2..Cell.5.RPKM.",10
"X8.cell.embryo.2..Cell.6.RPKM.",10
"X8.cell.embryo.2..Cell.7.RPKM.",10
"X8.cell.embryo.2..Cell.8.RPKM.",10
"X8.cell.embryo.3..Cell.1.RPKM.",2
"X8.cell.embryo.3..Cell.2.RPKM.",2
"X8.cell.embryo.3..Cell.3.RPKM.",2
"X8.cell.embryo.3..Cell.4.RPKM.",2
"X8.cell.embryo.3..Cell.5.RPKM.",2
"X8.cell.embryo.3..Cell.6.RPKM.",2
"X8.cell.embryo.3..Cell.7.RPKM.",2
"X8.cell.embryo.3..Cell.8.RPKM.",2
"Morulae..1..Cell.1.RPKM.",11
"Morulae..1..Cell.2.RPKM.",11
"Morulae..1..Cell.3.RPKM.",3
"Morulae..1..Cell.4.RPKM.",11
"Morulae..1..Cell.5.RPKM.",11
"Morulae..1..Cell.6.RPKM.",11
"Morulae..1..Cell.7.RPKM.",11
"Morulae..1..Cell.8.RPKM.",3
"Morulae..2..Cell.1.RPKM.",4
"Morulae..2..Cell.2.RPKM.",4
"Morulae..2..Cell.3.RPKM.",5
"Morulae..2..Cell.4.RPKM.",5
"Morulae..2..Cell.5.RPKM.",4
"Morulae..2..Cell.6.RPKM.",5
"Morulae..2..Cell.7.RPKM.",5
"Morulae..2..Cell.8.RPKM.",4
"Late.blastocyst..1..Cell.1.RPKM.",8
"Late.blastocyst..1..Cell.2.RPKM.",8
"Late.blastocyst..1..Cell.3.RPKM.",8
"Late.blastocyst..1..Cell.4.RPKM.",8
"Late.blastocyst..1..Cell.5.RPKM.",8
"Late.blastocyst..1..Cell.6.RPKM.",8
"Late.blastocyst..1..Cell.7.RPKM.",8
"Late.blastocyst..1..Cell.8.RPKM.",8
"Late.blastocyst..1..Cell.9.RPKM.",8
"Late.blastocyst..1..Cell.10.RPKM.",8
"Late.blastocyst..1..Cell.11.RPKM.",8
"Late.blastocyst..1..Cell.12.RPKM.",8
"Late.blastocyst..2..Cell.1.RPKM.",8
"Late.blastocyst..2..Cell.2.RPKM.",8
"Late.blastocyst..2..Cell.3.RPKM.",8
"Late.blastocyst..2..Cell.4.RPKM.",8
"Late.blastocyst..2..Cell.5.RPKM.",8
"Late.blastocyst..2..Cell.6.RPKM.",8
"Late.blastocyst..2..Cell.7.RPKM.",8
"Late.blastocyst..2..Cell.8.RPKM.",8
"Late.blastocyst..2..Cell.9.RPKM.",8
"Late.blastocyst..2..Cell.10.RPKM.",8
"Late.blastocyst..3..Cell.1.RPKM.",8
"Late.blastocyst..3..Cell.2.RPKM.",8
"Late.blastocyst..3..Cell.3.RPKM.",8
"Late.blastocyst..3..Cell.4.RPKM.",8
"Late.blastocyst..3..Cell.5.RPKM.",8
"Late.blastocyst..3..Cell.6.RPKM.",8
"Late.blastocyst..3..Cell.7.RPKM.",8
"Late.blastocyst..3..Cell.8.RPKM.",8
