"cell_name","cell_label"
"GSM1377859",1
"GSM1377860",1
"GSM1377861",1
"GSM1377862",1
"GSM1377863",1
"GSM1377864",1
"GSM1377865",1
"GSM1377866",1
"GSM1377867",1
"GSM1377868",2
"GSM1377869",2
"GSM1377870",2
"GSM1377871",2
"GSM1377872",2
"GSM1377873",2
"GSM1377874",2
"GSM1377875",2
"GSM1377876",2
"GSM1377877",2
"GSM1377878",2
"GSM1377879",2
"GSM1377880",2
"GSM1377881",2
"GSM1377882",2
"GSM1377883",2
"GSM1377884",2
"GSM1377885",2
"GSM1377886",2
"GSM1377887",2
"GSM1377888",3
"GSM1377889",3
"GSM1377890",3
"GSM1377891",3
"GSM1377892",3
"GSM1377893",3
"GSM1377894",3
"GSM1377895",3
"GSM1377896",3
"GSM1377897",3
"GSM1377898",3
"GSM1377899",3
"GSM1377900",3
"GSM1377901",3
"GSM1377902",3
"GSM1377903",3
"GSM1377904",3
"GSM1377905",3
"GSM1377906",3
"GSM1377907",3
