"cell_name","cell_label"
"GSM1377859","Singleton"
"GSM1377860","Singleton"
"GSM1377861","Singleton"
"GSM1377862","Singleton"
"GSM1377863","Cluster_1"
"GSM1377864","Cluster_1"
"GSM1377865","Singleton"
"GSM1377866","Cluster_1"
"GSM1377867","Cluster_1"
"GSM1377868","Singleton"
"GSM1377869","Singleton"
"GSM1377870","Singleton"
"GSM1377871","Singleton"
"GSM1377872","Singleton"
"GSM1377873","Singleton"
"GSM1377874","Singleton"
"GSM1377875","Singleton"
"GSM1377876","Singleton"
"GSM1377877","Singleton"
"GSM1377878","Singleton"
"GSM1377879","Singleton"
"GSM1377880","Singleton"
"GSM1377881","Singleton"
"GSM1377882","Singleton"
"GSM1377883","Singleton"
"GSM1377884","Singleton"
"GSM1377885","Singleton"
"GSM1377886","Singleton"
"GSM1377887","Singleton"
"GSM1377888","Singleton"
"GSM1377889","Singleton"
"GSM1377890","Singleton"
"GSM1377891","Singleton"
"GSM1377892","Singleton"
"GSM1377893","Singleton"
"GSM1377894","Singleton"
"GSM1377895","Singleton"
"GSM1377896","Singleton"
"GSM1377897","Singleton"
"GSM1377898","Singleton"
"GSM1377899","Singleton"
"GSM1377900","Singleton"
"GSM1377901","Singleton"
"GSM1377902","Singleton"
"GSM1377903","Singleton"
"GSM1377904","Singleton"
"GSM1377905","Singleton"
"GSM1377906","Singleton"
"GSM1377907","Singleton"
