"cell_name","cell_label"
"GSM1377859",1
"GSM1377860",1
"GSM1377861",1
"GSM1377862",1
"GSM1377863",1
"GSM1377864",1
"GSM1377865",2
"GSM1377866",1
"GSM1377867",1
"GSM1377868",3
"GSM1377869",3
"GSM1377870",3
"GSM1377871",3
"GSM1377872",3
"GSM1377873",3
"GSM1377874",4
"GSM1377875",4
"GSM1377876",3
"GSM1377877",3
"GSM1377878",4
"GSM1377879",4
"GSM1377880",3
"GSM1377881",3
"GSM1377882",3
"GSM1377883",3
"GSM1377884",3
"GSM1377885",3
"GSM1377886",3
"GSM1377887",3
"GSM1377888",5
"GSM1377889",5
"GSM1377890",5
"GSM1377891",5
"GSM1377892",5
"GSM1377893",5
"GSM1377894",5
"GSM1377895",5
"GSM1377896",5
"GSM1377897",5
"GSM1377898",5
"GSM1377899",5
"GSM1377900",5
"GSM1377901",5
"GSM1377902",5
"GSM1377903",5
"GSM1377904",5
"GSM1377905",5
"GSM1377906",5
"GSM1377907",5
