"cell_name","cell_label"
"GSM1377859",7
"GSM1377860",7
"GSM1377861",7
"GSM1377862",7
"GSM1377863",7
"GSM1377864",7
"GSM1377865",4
"GSM1377866",7
"GSM1377867",21
"GSM1377868",6
"GSM1377869",6
"GSM1377870",19
"GSM1377871",10
"GSM1377872",10
"GSM1377873",10
"GSM1377874",20
"GSM1377875",8
"GSM1377876",6
"GSM1377877",10
"GSM1377878",14
"GSM1377879",17
"GSM1377880",1
"GSM1377881",16
"GSM1377882",15
"GSM1377883",1
"GSM1377884",1
"GSM1377885",1
"GSM1377886",12
"GSM1377887",13
"GSM1377888",9
"GSM1377889",3
"GSM1377890",9
"GSM1377891",3
"GSM1377892",9
"GSM1377893",9
"GSM1377894",9
"GSM1377895",9
"GSM1377896",2
"GSM1377897",11
"GSM1377898",18
"GSM1377899",9
"GSM1377900",5
"GSM1377901",9
"GSM1377902",9
"GSM1377903",9
"GSM1377904",9
"GSM1377905",9
"GSM1377906",11
"GSM1377907",9
